UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 300
NumEchoes   = 3

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         13585392         13585400     0
     0      16         13585392         13585400     0
     0      32         13585392         13585400     0
     0      48         13585392         13585400     0
     0       0         13585401         13585409     1
     0      16         13585401         13585409     1
     0      32         13585401         13585409     1
     0      48         13585401         13585409     1
     0       0         13585410         13585418     2
     0      16         13585410         13585418     2
     0      32         13585410         13585418     2
     0      48         13585410         13585418     2
     0       7         13585428         13585436     0
     0      23         13585428         13585436     0
     0      39         13585428         13585436     0
     0      55         13585428         13585436     0
     0       7         13585437         13585445     1
     0      23         13585437         13585445     1
     0      39         13585437         13585445     1
     0      55         13585437         13585445     1
     0       7         13585446         13585454     2
     0      23         13585446         13585454     2
     0      39         13585446         13585454     2
     0      55         13585446         13585454     2
     0      14         13585464         13585472     0
     0      30         13585464         13585472     0
     0      46         13585464         13585472     0
     0      62         13585464         13585472     0
     0      14         13585473         13585481     1
     0      30         13585473         13585481     1
     0      46         13585473         13585481     1
     0      62         13585473         13585481     1
     0      14         13585482         13585490     2
     0      30         13585482         13585490     2
     0      46         13585482         13585490     2
     0      62         13585482         13585490     2
     0       5         13585500         13585508     0
     0      21         13585500         13585508     0
     0      37         13585500         13585508     0
     0      53         13585500         13585508     0
     0       5         13585509         13585517     1
     0      21         13585509         13585517     1
     0      37         13585509         13585517     1
     0      53         13585509         13585517     1
     0       5         13585518         13585526     2
     0      21         13585518         13585526     2
     0      37         13585518         13585526     2
     0      53         13585518         13585526     2
     0      12         13585536         13585545     0
     0      28         13585536         13585545     0
     0      44         13585536         13585545     0
     0      60         13585536         13585545     0
     0      12         13585545         13585553     1
     0      28         13585545         13585553     1
     0      44         13585545         13585553     1
     0      60         13585545         13585553     1
     0      12         13585554         13585562     2
     0      28         13585554         13585562     2
     0      44         13585554         13585562     2
     0      60         13585554         13585562     2
     0       3         13585572         13585581     0
     0      19         13585572         13585581     0
     0      35         13585572         13585581     0
     0      51         13585572         13585581     0
     0       3         13585581         13585589     1
     0      19         13585581         13585589     1
     0      35         13585581         13585589     1
     0      51         13585581         13585589     1
     0       3         13585590         13585598     2
     0      19         13585590         13585598     2
     0      35         13585590         13585598     2
     0      51         13585590         13585598     2
     0      10         13585608         13585617     0
     0      26         13585608         13585617     0
     0      42         13585608         13585617     0
     0      58         13585608         13585617     0
     0      10         13585617         13585625     1
     0      26         13585617         13585625     1
     0      42         13585617         13585625     1
     0      58         13585617         13585625     1
     0      10         13585626         13585634     2
     0      26         13585626         13585634     2
     0      42         13585626         13585634     2
     0      58         13585626         13585634     2
     0       1         13585645         13585653     0
     0      17         13585645         13585653     0
     0      33         13585645         13585653     0
     0      49         13585645         13585653     0
     0       1         13585653         13585662     1
     0      17         13585653         13585662     1
     0      33         13585653         13585662     1
     0      49         13585653         13585662     1
     0       1         13585662         13585670     2
     0      17         13585662         13585670     2
     0      33         13585662         13585670     2
     0      49         13585662         13585670     2
     0       8         13585681         13585689     0
     0      24         13585681         13585689     0
     0      40         13585681         13585689     0
     0      56         13585681         13585689     0
     0       8         13585689         13585698     1
     0      24         13585689         13585698     1
     0      40         13585689         13585698     1
     0      56         13585689         13585698     1
     0       8         13585698         13585706     2
     0      24         13585698         13585706     2
     0      40         13585698         13585706     2
     0      56         13585698         13585706     2
     0      15         13585717         13585725     0
     0      31         13585717         13585725     0
     0      47         13585717         13585725     0
     0      63         13585717         13585725     0
     0      15         13585725         13585734     1
     0      31         13585725         13585734     1
     0      47         13585725         13585734     1
     0      63         13585725         13585734     1
     0      15         13585734         13585742     2
     0      31         13585734         13585742     2
     0      47         13585734         13585742     2
     0      63         13585734         13585742     2
     0       6         13585753         13585761     0
     0      22         13585753         13585761     0
     0      38         13585753         13585761     0
     0      54         13585753         13585761     0
     0       6         13585762         13585770     1
     0      22         13585762         13585770     1
     0      38         13585762         13585770     1
     0      54         13585762         13585770     1
     0       6         13585770         13585779     2
     0      22         13585770         13585779     2
     0      38         13585770         13585779     2
     0      54         13585770         13585779     2
     0      13         13585789         13585797     0
     0      29         13585789         13585797     0
     0      45         13585789         13585797     0
     0      61         13585789         13585797     0
     0      13         13585798         13585806     1
     0      29         13585798         13585806     1
     0      45         13585798         13585806     1
     0      61         13585798         13585806     1
     0      13         13585806         13585815     2
     0      29         13585806         13585815     2
     0      45         13585806         13585815     2
     0      61         13585806         13585815     2
     0       4         13585825         13585833     0
     0      20         13585825         13585833     0
     0      36         13585825         13585833     0
     0      52         13585825         13585833     0
     0       4         13585834         13585842     1
     0      20         13585834         13585842     1
     0      36         13585834         13585842     1
     0      52         13585834         13585842     1
     0       4         13585842         13585851     2
     0      20         13585842         13585851     2
     0      36         13585842         13585851     2
     0      52         13585842         13585851     2
     0      11         13585861         13585869     0
     0      27         13585861         13585869     0
     0      43         13585861         13585869     0
     0      59         13585861         13585869     0
     0      11         13585870         13585878     1
     0      27         13585870         13585878     1
     0      43         13585870         13585878     1
     0      59         13585870         13585878     1
     0      11         13585879         13585887     2
     0      27         13585879         13585887     2
     0      43         13585879         13585887     2
     0      59         13585879         13585887     2
     0       2         13585897         13585905     0
     0      18         13585897         13585905     0
     0      34         13585897         13585905     0
     0      50         13585897         13585905     0
     0       2         13585906         13585914     1
     0      18         13585906         13585914     1
     0      34         13585906         13585914     1
     0      50         13585906         13585914     1
     0       2         13585915         13585923     2
     0      18         13585915         13585923     2
     0      34         13585915         13585923     2
     0      50         13585915         13585923     2
     0       9         13585933         13585941     0
     0      25         13585933         13585941     0
     0      41         13585933         13585941     0
     0      57         13585933         13585941     0
     0       9         13585942         13585950     1
     0      25         13585942         13585950     1
     0      41         13585942         13585950     1
     0      57         13585942         13585950     1
     0       9         13585951         13585959     2
     0      25         13585951         13585959     2
     0      41         13585951         13585959     2
     0      57         13585951         13585959     2
     1       0         13585977         13585985     0
     1      16         13585977         13585985     0
     1      32         13585977         13585985     0
     1      48         13585977         13585985     0
     1       0         13585986         13585994     1
     1      16         13585986         13585994     1
     1      32         13585986         13585994     1
     1      48         13585986         13585994     1
     1       0         13585995         13586003     2
     1      16         13585995         13586003     2
     1      32         13585995         13586003     2
     1      48         13585995         13586003     2
     1       7         13586013         13586021     0
     1      23         13586013         13586021     0
     1      39         13586013         13586021     0
     1      55         13586013         13586021     0
     1       7         13586022         13586030     1
     1      23         13586022         13586030     1
     1      39         13586022         13586030     1
     1      55         13586022         13586030     1
     1       7         13586031         13586039     2
     1      23         13586031         13586039     2
     1      39         13586031         13586039     2
     1      55         13586031         13586039     2
     1      14         13586049         13586057     0
     1      30         13586049         13586057     0
     1      46         13586049         13586057     0
     1      62         13586049         13586057     0
     1      14         13586058         13586066     1
     1      30         13586058         13586066     1
     1      46         13586058         13586066     1
     1      62         13586058         13586066     1
     1      14         13586067         13586075     2
     1      30         13586067         13586075     2
     1      46         13586067         13586075     2
     1      62         13586067         13586075     2
     1       5         13586085         13586093     0
     1      21         13586085         13586093     0
     1      37         13586085         13586093     0
     1      53         13586085         13586093     0
     1       5         13586094         13586102     1
