UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     13574253     PULS   3033 
     13574255     PULS   3013 
     13574257     PULS   2988 
     13574259     PULS   2960 
     13574261     PULS   2935 
     13574263     PULS   2908  PULS_TRIGGER
     13574265     PULS   2880 
     13574267     PULS   2853 
     13574269     PULS   2825 
     13574271     PULS   2795 
     13574273     PULS   2768 
     13574275     PULS   2738 
     13574277     PULS   2700 
     13574279     PULS   2668 
     13574281     PULS   2633 
     13574283     PULS   2598 
     13574285     PULS   2563 
     13574287     PULS   2530 
     13574289     PULS   2500 
     13574291     PULS   2470 
     13574292     PULS   2438 
     13574294     PULS   2403 
     13574296     PULS   2370 
     13574298     PULS   2338 
     13574300     PULS   2305 
     13574302     PULS   2275 
     13574304     PULS   2243 
     13574306     PULS   2213 
     13574308     PULS   2183 
     13574310     PULS   2155 
     13574312     PULS   2128 
     13574314     PULS   2103 
     13574316     PULS   2080 
     13574318     PULS   2055 
     13574320     PULS   2035 
     13574322     PULS   2015 
     13574324     PULS   1998 
     13574326     PULS   1985 
     13574328     PULS   1978 
     13574330     PULS   1970 
     13574332     PULS   1963 
     13574334     PULS   1960 
     13574336     PULS   1958 
     13574338     PULS   1958 
     13574340     PULS   1955 
     13574342     PULS   1955 
     13574344     PULS   1955 
     13574346     PULS   1955 
     13574348     PULS   1955 
     13574350     PULS   1953 
     13574352     PULS   1950 
     13574354     PULS   1945 
     13574356     PULS   1938 
     13574358     PULS   1930 
     13574360     PULS   1920 
     13574362     PULS   1913 
     13574364     PULS   1903 
     13574366     PULS   1893 
     13574368     PULS   1885 
     13574370     PULS   1875 
     13574372     PULS   1865 
     13574374     PULS   1858 
     13574376     PULS   1848 
     13574378     PULS   1838 
     13574380     PULS   1828 
     13574382     PULS   1818 
     13574384     PULS   1808 
     13574386     PULS   1798 
     13574388     PULS   1788 
     13574390     PULS   1775 
     13574392     PULS   1763 
     13574394     PULS   1753 
     13574396     PULS   1740 
     13574398     PULS   1730 
     13574400     PULS   1715 
     13574402     PULS   1700 
     13574404     PULS   1683 
     13574406     PULS   1663 
     13574408     PULS   1643 
     13574410     PULS   1623 
     13574412     PULS   1603 
     13574414     PULS   1585 
     13574416     PULS   1568 
     13574418     PULS   1553 
     13574420     PULS   1540 
     13574422     PULS   1530 
     13574424     PULS   1523 
     13574426     PULS   1513 
