UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     13574253     RESP   2396 
     13574261     RESP   2396 
     13574269     RESP   2381 
     13574277     RESP   2367 
     13574285     RESP   2352 
     13574292     RESP   2352 
     13574300     RESP   2323 
     13574308     RESP   2323 
     13574316     RESP   2323 
     13574324     RESP   2338 
     13574332     RESP   2352 
     13574340     RESP   2352 
     13574348     RESP   2367 
     13574356     RESP   2352 
     13574364     RESP   2352 
     13574372     RESP   2352 
     13574380     RESP   2352 
     13574388     RESP   2352 
     13574396     RESP   2367 
     13574404     RESP   2367 
     13574412     RESP   2381 
     13574420     RESP   2381 
     13574428     RESP   2381 
     13574436     RESP   2367 
     13574444     RESP   2367 
     13574452     RESP   2381 
     13574460     RESP   2381 
     13574468     RESP   2381 
     13574476     RESP   2367 
     13574484     RESP   2381 
     13574492     RESP   2367 
     13574500     RESP   2367 
     13574508     RESP   2352 
     13574516     RESP   2367 
     13574524     RESP   2352 
     13574532     RESP   2323 
     13574540     RESP   2294 
     13574548     RESP   2294 
     13574556     RESP   2323 
     13574564     RESP   2323 
     13574572     RESP   2280 
     13574580     RESP   2236 
     13574588     RESP   2236 
     13574596     RESP   2207 
     13574604     RESP   2207 
     13574612     RESP   2207 
     13574620     RESP   2207 
     13574628     RESP   2207 
     13574636     RESP   2193 
     13574644     RESP   2236 
     13574652     RESP   2236 
     13574660     RESP   2280 
     13574668     RESP   2294 
     13574676     RESP   2323 
     13574684     RESP   2352 
     13574692     RESP   2367 
     13574700     RESP   2367 
     13574708     RESP   2352 
     13574716     RESP   2338 
     13574724     RESP   2338 
     13574732     RESP   2323 
     13574740     RESP   2323 
     13574748     RESP   2309 
     13574756     RESP   2323 
     13574764     RESP   2338 
     13574772     RESP   2338 
     13574780     RESP   2338 
     13574788     RESP   2352 
     13574796     RESP   2367 
     13574804     RESP   2381 
     13574812     RESP   2381 
     13574820     RESP   2410 
     13574828     RESP   2439 
     13574836     RESP   2468 
     13574844     RESP   2483 
     13574852     RESP   2512 
     13574860     RESP   2541 
     13574868     RESP   2555 
     13574876     RESP   2599 
     13574884     RESP   2599 
     13574892     RESP   2613 
     13574900     RESP   2628 
     13574908     RESP   2642 
     13574916     RESP   2657 
     13574924     RESP   2686 
     13574932     RESP   2700 
     13574940     RESP   2715 
     13574948     RESP   2744 
     13574956     RESP   2744 
